"SITE_NAME","DATE","TP","TN"
"SRS4",2001-05-23,47,859
"SRS5",2001-05-23,63,194
"SRS6",2001-05-23,59,126
"SRS1a",2001-06-12,64,585
"SRS3",2001-06-12,144,49
"SRS4",2001-06-26,52,741
"SRS5",2001-06-26,50,532
"SRS6",2001-06-26,45,642
"SRS2",2001-07-23,25,31
"SRS3",2001-07-23,22,1247
"SRS4",2001-07-25,21,799
"SRS5",2001-07-25,30,1101
"SRS6",2001-07-25,63,759
"SRS1a",2001-07-31,42,1075
"SRS2",2001-09-05,12,1181
"SRS3",2001-09-05,11,734
"SRS4",2001-09-10,22,801
"SRS5",2001-09-10,10,834
"SRS6",2001-09-10,58,770
"SRS1a",2001-09-13,25,862
"SRS4",2001-10-06,15,379
"SRS5",2001-10-06,31,311
"SRS6",2001-10-06,33,431
"SRS2",2001-10-14,12,751
"SRS3",2001-10-14,10,632
"SRS1a",2001-10-22,9,860
"SRS4",2001-10-31,13,764
"SRS5",2001-10-31,16,989
"SRS6",2001-10-31,76,766
"SRS2",2001-11-19,84,1131
"SRS3",2001-11-19,83,1218
"SRS1a",2001-11-28,1,628
"SRS4",2001-11-28,12,569
"SRS5",2001-11-28,16,522
"SRS6",2001-11-28,33,618
"SRS2",2001-12-13,1,606
"SRS3",2001-12-13,1,666
"SRS4",2001-12-17,14,649
"SRS5",2001-12-17,11,489
"SRS6",2001-12-17,41,828
"SRS1a",2001-12-19,7,655
"SRS2",2002-01-15,22,1020
"SRS3",2002-01-15,1,1248
"SRS1a",2002-01-22,22,554
"SRS4",2002-01-24,33,362
"SRS5",2002-01-24,1,250
"SRS6",2002-01-24,1,639
"SRS2",2002-02-10,1,1010
"SRS3",2002-02-10,1,1063
"SRS4",2002-02-26,20,278
"SRS5",2002-02-26,30,122
"SRS6",2002-02-26,78,123
"SRS1a",2002-02-28,55,217
"SRS2",2002-03-08,38,324
"SRS3",2002-03-08,53,728
"SRS1a",2002-03-28,75,169
"SRS4",2002-04-02,18,174
"SRS5",2002-04-02,39,141
"SRS6",2002-04-02,1,104
"SRS2",2002-04-05,22,682
"SRS3",2002-04-05,15,487
"SRS1a",2002-04-09,41,758
"SRS3",2002-05-07,151,54
"SRS1a",2002-05-08,88,1250
"SRS4",2002-05-13,65,1263
"SRS5",2002-05-13,89,975
"SRS6",2002-05-13,78,857
"SRS2",2002-06-06,42,35
"SRS3",2002-06-06,44,1304
"SRS1a",2002-06-25,18,555
"SRS4",2002-06-27,16,481
"SRS5",2002-06-27,38,150
"SRS6",2002-06-27,31,1124
"SRS2",2002-07-16,59,1243
"SRS3",2002-07-16,34,1272
"SRS4",2002-07-25,32,1287
"SRS5",2002-07-25,15,1175
"SRS6",2002-07-25,41,1049
"SRS1a",2002-07-29,9,1279
"SRS4",2002-08-19,9,712
"SRS5",2002-08-19,11,675
"SRS6",2002-08-19,41,449
"SRS2",2002-08-21,5,841
"SRS3",2002-08-21,1,654
"SRS1a",2002-08-22,4,500
"SRS2",2002-09-24,1,1040
"SRS3",2002-09-24,4,861
"SRS1a",2002-09-25,1,1060
"SRS4",2002-09-26,7,581
"SRS5",2002-09-26,17,578
"SRS6",2002-09-26,1,500
"SRS2",2002-10-18,4,664
"SRS3",2002-10-18,6,611
"SRS4",2002-10-21,11,167
"SRS5",2002-10-21,30,317
"SRS6",2002-10-21,1,348
"SRS1a",2002-10-23,1,524
"SRS2",2002-11-19,7,511
"SRS3",2002-11-19,6,952
"SRS1a",2002-11-20,10,1077
"SRS4",2002-11-21,21,364
"SRS5",2002-11-21,12,808
"SRS6",2002-11-21,24,626
"SRS4",2002-12-17,1,593
"SRS5",2002-12-17,19,641
"SRS6",2002-12-17,1,610
"SRS1a",2002-12-19,79,1194
"SRS2",2002-12-19,20,1141
"SRS3",2002-12-19,8,715
"SRS2",2003-01-17,6,1052
"SRS3",2003-01-17,1,998
"SRS1a",2003-01-21,61,1081
"SRS4",2003-01-23,3,553
"SRS5",2003-01-23,27,295
"SRS6",2003-01-23,29,137
"SRS4",2003-02-18,24,270
"SRS5",2003-02-18,31,466
"SRS6",2003-02-18,40,181
"SRS1a",2003-02-20,78,1213
"SRS2",2003-02-20,11,1337
"SRS3",2003-02-20,24,37
"SRS2",2003-03-25,15,195
"SRS3",2003-03-25,1,345
"SRS1a",2003-03-26,38,1
"SRS4",2003-03-27,25,774
"SRS5",2003-03-27,36,187
"SRS6",2003-03-27,47,268
"SRS4",2003-04-22,27,262
"SRS5",2003-04-22,39,265
"SRS6",2003-04-22,43,203
"SRS1a",2003-04-24,112,1234
"SRS2",2003-04-24,12,23
"SRS3",2003-04-24,34,13
"SRS2",2003-05-15,12,923
"SRS3",2003-05-15,30,403
"SRS4",2003-05-15,52,992
"SRS5",2003-05-15,45,640
"SRS6",2003-05-15,11,260
"SRS1a",2003-05-27,31,1
"SRS2",2003-06-10,5,359
"SRS3",2003-06-10,12,397
"SRS1a",2003-06-17,32,395
"SRS4",2003-06-19,10,595
"SRS5",2003-06-19,32,512
"SRS6",2003-06-19,54,506
"SRS1a",2003-07-23,18,1226
"SRS2",2003-07-24,18,472
"SRS3",2003-07-24,1,853
"SRS4",2003-07-30,27,974
"SRS5",2003-07-30,31,422
"SRS6",2003-07-30,51,349
"SRS4",2003-08-11,13,248
"SRS5",2003-08-11,17,706
"SRS6",2003-08-11,50,579
"SRS1a",2003-08-18,17,6
"SRS2",2003-08-18,4,781
"SRS3",2003-08-18,11,873
"SRS1a",2003-09-09,12,537
"SRS2",2003-09-09,11,369
"SRS3",2003-09-09,11,478
"SRS4",2003-09-11,16,375
"SRS5",2003-09-11,18,363
"SRS6",2003-09-11,35,188
"SRS4",2003-10-07,24,176
"SRS5",2003-10-07,17,336
"SRS6",2003-10-07,33,404
"SRS1a",2003-10-08,8,547
"SRS2",2003-10-16,8,239
"SRS3",2003-10-16,9,335
"SRS4",2003-11-06,68,812
"SRS5",2003-11-06,35,223
"SRS6",2003-11-06,28,155
"SRS2",2003-11-10,17,435
"SRS3",2003-11-10,19,269
"SRS1a",2003-11-11,11,310
"SRS1a",2003-12-03,3,890
"SRS4",2003-12-04,18,173
"SRS5",2003-12-04,17,233
"SRS6",2003-12-04,33,232
"SRS2",2003-12-09,7,502
"SRS3",2003-12-09,6,333
"SRS2",2004-01-06,13,454
"SRS3",2004-01-06,7,402
"SRS4",2004-01-12,16,241
"SRS5",2004-01-12,17,568
"SRS6",2004-01-12,30,179
"SRS1a",2004-01-26,21,254
"SRS4",2004-02-09,17,528
"SRS5",2004-02-09,12,575
"SRS6",2004-02-09,17,444
"SRS1a",2004-02-10,32,323
"SRS2",2004-02-10,13,1135
"SRS3",2004-02-10,8,601
"SRS2",2004-03-15,9,1146
"SRS3",2004-03-15,7,651
"SRS4",2004-03-16,6,663
"SRS5",2004-03-16,22,414
"SRS6",2004-03-16,1,347
"SRS1a",2004-03-23,30,495
"SRS4",2004-04-06,22,274
"SRS5",2004-04-06,26,294
"SRS6",2004-04-06,28,152
"SRS1a",2004-04-19,86,1
"SRS4",2004-05-03,29,377
"SRS5",2004-05-03,35,280
"SRS6",2004-05-03,47,304
"SRS1a",2004-05-05,1,1
"SRS2",2004-05-05,13,4
"SRS3",2004-05-05,27,838
"SRS4",2004-06-02,31,415
"SRS5",2004-06-02,50,300
"SRS6",2004-06-02,33,384
"SRS1a",2004-06-24,89,354
"SRS2",2004-06-24,19,1285
"SRS3",2004-06-24,25,65
"SRS1a",2004-07-15,43,544
"SRS4",2004-07-20,42,165
"SRS5",2004-07-20,31,392
"SRS6",2004-07-20,1,264
"SRS2",2004-07-29,26,1094
"SRS3",2004-07-29,26,182
"SRS4",2004-08-16,32,501
"SRS5",2004-08-16,28,967
"SRS6",2004-08-16,44,1095
"SRS2",2004-08-17,1,824
"SRS3",2004-08-17,20,548
"SRS1a",2004-08-19,40,986
"SRS4",2004-09-01,29,920
"SRS5",2004-09-01,23,709
"SRS6",2004-09-01,41,708
"SRS1a",2004-09-08,17,380
"SRS2",2004-09-08,9,383
"SRS3",2004-09-08,1,132
"SRS4",2004-10-13,16,236
"SRS5",2004-10-13,34,207
"SRS6",2004-10-13,1,178
"SRS1a",2004-10-14,9,408
"SRS2",2004-10-14,10,463
"SRS3",2004-10-14,10,171
"SRS4",2004-11-16,10,292
"SRS5",2004-11-16,17,237
"SRS6",2004-11-16,31,222
"SRS2",2004-11-17,8,795
"SRS3",2004-11-17,8,458
"SRS1a",2004-11-22,9,467
"SRS4",2004-12-02,22,271
"SRS5",2004-12-02,1,275
"SRS6",2004-12-02,33,340
"SRS1a",2004-12-07,1,308
"SRS2",2004-12-07,1,418
"SRS3",2004-12-07,1,164
"SRS1a",2005-01-04,20,863
"SRS1c",2005-01-04,6,1021
"SRS3",2005-01-05,1,692
"SRS4",2005-01-06,7,676
"SRS5",2005-01-06,21,426
"SRS6",2005-01-06,43,124
"SRS2",2005-01-12,10,972
"SRS1c",2005-02-16,17,1047
"SRS2",2005-02-16,8,818
"SRS3",2005-02-16,21,1299
"SRS4",2005-02-21,28,208
"SRS5",2005-02-21,44,428
"SRS6",2005-02-21,41,293
"SRS4",2005-03-09,33,796
"SRS5",2005-03-09,32,662
"SRS6",2005-03-09,49,204
"SRS2",2005-03-16,24,66
"SRS3",2005-03-16,20,1346
"SRS2",2005-04-13,12,148
"SRS3",2005-04-13,44,96
"SRS4",2005-04-19,49,407
"SRS5",2005-04-19,68,684
"SRS6",2005-04-19,74,183
"SRS4",2005-05-18,34,560
"SRS5",2005-05-18,41,406
"SRS6",2005-05-18,63,326
"SRS1c",2005-05-23,1,783
"SRS3",2005-05-23,74,1067
"SRS4",2005-06-29,40,320
"SRS5",2005-06-29,67,286
"SRS6",2005-06-29,46,417
"SRS1c",2005-06-30,21,625
"SRS2",2005-06-30,40,372
"SRS3",2005-06-30,42,220
"SRS1c",2005-07-18,23,503
"SRS2",2005-07-18,15,437
"SRS3",2005-07-18,25,499
"SRS4",2005-07-21,28,400
"SRS5",2005-07-21,38,438
"SRS6",2005-07-21,59,209
"SRS1c",2005-08-23,11,798
"SRS2",2005-08-23,14,1214
"SRS3",2005-08-23,13,1251
"SRS4",2005-09-13,13,307
"SRS5",2005-09-13,51,240
"SRS6",2005-09-13,82,162
"SRS1c",2005-09-23,1,1148
"SRS2",2005-09-23,12,1029
"SRS3",2005-09-23,11,517
"SRS4",2005-10-11,10,249
"SRS5",2005-10-11,23,374
"SRS6",2005-10-11,54,251
"SRS1c",2005-10-18,28,153
"SRS2",2005-10-18,27,231
"SRS3",2005-10-18,26,142
"SRS1c",2005-11-10,14,244
"SRS2",2005-11-10,14,144
"SRS3",2005-11-10,11,134
"SRS4",2005-11-15,60,190
"SRS5",2005-11-15,57,446
"SRS6",2005-11-15,140,160
"SRS4",2005-12-08,27,360
"SRS5",2005-12-08,43,267
"SRS6",2005-12-08,89,196
"SRS1c",2005-12-19,131,185
"SRS2",2005-12-19,22,513
"SRS3",2005-12-19,24,474
"SRS4",2006-01-03,25,523
"SRS5",2006-01-03,52,253
"SRS6",2006-01-03,76,168
"SRS1c",2006-01-05,23,510
"SRS1d",2006-01-05,17,420
"SRS2",2006-01-17,18,172
"SRS3",2006-01-17,18,833
"SRS4",2006-02-02,96,313
"SRS5",2006-02-02,58,387
"SRS6",2006-02-02,70,161
"SRS1d",2006-02-09,71,282
"SRS2",2006-02-09,85,177
"SRS3",2006-02-09,86,243
"SRS1d",2006-03-02,42,809
"SRS2",2006-03-02,26,516
"SRS3",2006-03-02,27,299
"SRS4",2006-03-09,54,252
"SRS5",2006-03-09,54,245
"SRS6",2006-03-09,73,163
"SRS1d",2006-04-06,42,521
"SRS2",2006-04-06,39,988
"SRS3",2006-04-06,63,736
"SRS4",2006-04-11,137,166
"SRS5",2006-04-11,95,218
"SRS6",2006-04-11,90,136
"SRS4",2006-05-04,133,229
"SRS5",2006-05-04,125,189
"SRS6",2006-05-04,134,114
"SRS1d",2006-05-16,136,33
"SRS2",2006-05-16,116,18
"SRS3",2006-05-16,150,1159
"SRS4",2006-06-06,81,242
"SRS5",2006-06-06,73,175
"SRS6",2006-06-06,84,103
"SRS1d",2006-06-15,41,670
"SRS2",2006-06-15,37,748
"SRS3",2006-06-15,37,225
"SRS1d",2006-07-25,21,235
"SRS4",2006-07-26,57,361
"SRS5",2006-07-26,38,425
"SRS6",2006-07-26,57,330
"SRS2",2006-07-31,27,358
"SRS3",2006-07-31,38,635
"SRS4",2006-08-21,22,289
"SRS5",2006-08-21,38,483
"SRS6",2006-08-21,107,246
"SRS1d",2006-09-01,14,154
"SRS2",2006-09-01,15,332
"SRS3",2006-09-01,17,193
"SRS4",2006-09-14,39,475
"SRS5",2006-09-14,96,591
"SRS6",2006-09-14,110,600
"SRS1d",2006-09-21,51,256
"SRS2",2006-09-21,18,1076
"SRS3",2006-09-21,17,814
"SRS1d",2006-10-09,13,567
"SRS2",2006-10-09,15,583
"SRS3",2006-10-09,13,330
"SRS4",2006-10-16,20,291
"SRS5",2006-10-16,48,309
"SRS6",2006-10-16,84,248
"SRS1d",2006-11-13,23,790
"SRS2",2006-11-13,36,729
"SRS3",2006-11-13,30,287
"SRS4",2006-11-20,43,346
"SRS5",2006-11-20,43,373
"SRS6",2006-11-20,98,258
"SRS1d",2006-12-07,30,1011
"SRS2",2006-12-07,33,1064
"SRS3",2006-12-07,27,746
"SRS4",2006-12-11,33,638
"SRS5",2006-12-11,40,318
"SRS6",2006-12-11,73,281
"SRS4",2007-01-17,35,753
