"SITE","DATE","YEAR","Species.Tree","Tree_DBH","Tree_Height","meanWD","AGB","geometry"
"SRS5",2003-05-23,2003-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2003-05-23,2003-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2003-05-23,2003-01-01,"A",726,"7.2",0.7764,786.962036495336,c(-81.03234716, 25.37702258)
"SRS5",2000-12-16,2000-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2000-12-16,2000-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2000-12-16,2000-01-01,"A",724,"6",0.7764,782.22591196967,c(-81.03234716, 25.37702258)
"SRS5",2000-12-16,2000-01-01,"A",565,"10",0.7764,453.357553676165,c(-81.03234716, 25.37702258)
"SRS5",2004-05-29,2004-01-01,"A",726,"-9999",0.7764,786.962036495336,c(-81.03234716, 25.37702258)
"SRS5",2004-05-29,2004-01-01,"A",581,"-9999",0.7764,482.216041587061,c(-81.03234716, 25.37702258)
"SRS5",2004-05-29,2004-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2004-05-29,2004-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2004-05-29,2004-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2003-05-23,2003-01-01,"A",566,"10.88",0.7764,455.133640610837,c(-81.03234716, 25.37702258)
"SRS5",2003-05-23,2003-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2003-05-23,2003-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2003-05-23,2003-01-01,"A",651,"8.91",0.7764,619.581307947504,c(-81.03234716, 25.37702258)
"SRS5",2003-05-23,2003-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2003-05-23,2003-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2003-05-23,2003-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2003-05-23,2003-01-01,"A",49,"11.8",0.7764,1.5449422120772,c(-81.03234716, 25.37702258)
"SRS5",2003-05-23,2003-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2000-12-16,2000-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2000-12-16,2000-01-01,"A",1,"4.3",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2000-12-16,2000-01-01,"A",647,"6.2",0.7764,611.242894850743,c(-81.03234716, 25.37702258)
"SRS5",2000-12-16,2000-01-01,"A",1,"5.5",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2000-12-16,2000-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2000-12-16,2000-01-01,"A",1,"2.5",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2000-12-16,2000-01-01,"A",49,"7.4",0.7764,1.5449422120772,c(-81.03234716, 25.37702258)
"SRS5",2000-12-16,2000-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2004-05-29,2004-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2004-05-29,2004-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2001-05-01,2001-01-01,"A",680,"8.19",0.7764,681.814359482174,c(-81.03234716, 25.37702258)
"SRS5",2001-05-01,2001-01-01,"A",499,"3.1",0.7764,344.226321069541,c(-81.03234716, 25.37702258)
"SRS5",2001-05-01,2001-01-01,"A",518,"3.97",0.7764,374.013647216902,c(-81.03234716, 25.37702258)
"SRS5",2004-05-29,2004-01-01,"A",700,"-9999",0.7764,726.559508203573,c(-81.03234716, 25.37702258)
"SRS5",2004-05-29,2004-01-01,"A",509,"-9999",0.7764,359.740229150385,c(-81.03234716, 25.37702258)
"SRS5",2004-05-29,2004-01-01,"A",566,"-9999",0.7764,455.133640610837,c(-81.03234716, 25.37702258)
"SRS5",2004-05-29,2004-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2004-05-29,2004-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2004-05-29,2004-01-01,"A",651,"-9999",0.7764,619.581307947504,c(-81.03234716, 25.37702258)
"SRS5",2004-05-29,2004-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2004-05-29,2004-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2004-05-29,2004-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2004-05-29,2004-01-01,"A",49,"-9999",0.7764,1.5449422120772,c(-81.03234716, 25.37702258)
"SRS5",2004-05-29,2004-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2002-05-20,2002-01-01,"A",686,"-9999",0.7764,695.081216455946,c(-81.03234716, 25.37702258)
"SRS5",2002-05-20,2002-01-01,"A",499,"-9999",0.7764,344.226321069541,c(-81.03234716, 25.37702258)
"SRS5",2002-05-20,2002-01-01,"A",527,"-9999",0.7764,388.582133126632,c(-81.03234716, 25.37702258)
"SRS5",2002-05-20,2002-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2002-05-20,2002-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2002-05-20,2002-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2001-05-01,2001-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2001-05-01,2001-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2001-05-01,2001-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2001-05-01,2001-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2001-05-01,2001-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
"SRS5",2001-05-01,2001-01-01,"A",1,"-9999",0.7764,5.85982015029091e-05,c(-81.03234716, 25.37702258)
