FCE_LTER_site_coordinates,,,,,,
SITE,LATITUDE (Decimal degrees),LONGITUDE (Decimal degrees),"LATITUDE (Degrees, minutes)","LONGITUDE (Degrees, minutes)",NORTHING (UTM),EASTING (UTM)
SRS 1a,25.76145171,-80.72742805,25 45.68710260',-80 43.64568300',2849294.816,527333.286
SRS 1b,25.75776827,-80.72558792,25 45.46609620',-80 43.53527520',2848887.293,527518.663
SRS 1c,25.7552333,-80.5742667,25 45.314',-80 34.456',2848646.92,542694.55
SRS 1d,25.7463,-80.65368,25 44.778',-80 39.221',2847634.32,534733.14
SRS 2,25.54972811,-80.78520692,25 32.98368660',-80 47.11241520',2825838.063,521577.306
SRS 3,25.46820617,-80.85327617,25 28.09237020',-80 51.19657020',2816801.31,514749.268
SRS 4,25.40976421,-80.96431016,25 24.58585260',-80 57.85860960',2810322.089,503589.416
SRS 5,25.37702258,-81.03234716,25 22.62135480',-81 1.94082960',2806696.377,496745.889
SRS 6,25.36462994,-81.07794623,25 21.87779640',-81 4.67677380',2805325.98,492157.84
SRS 7,25.352825,-81.114339,25 21.1695',-81 6.860340',2804021.4,488495.25
TS/Ph 1a,25.42388762,-80.5902979,25 25.43325720',-80 35.41787400',2811948.803,541200.174
TS/Ph 1b,25.43857602,-80.59027402,25 26.31456120',-80 35.41644120',2813575.357,541197.58
TS/Ph 2,25.40357188,-80.60690341,25 24.21431280',-80 36.41420460',2809694.089,539536.909
TS/Ph 3,25.25240534,-80.66271768,25 15.14432040',-80 39.76306080',2792939.354,533965.326
TS/Ph 4,25.31472178,-80.52209443,25 18.88330680',-80 31.32566580',2799882.963,548102.099
TS/Ph 5,25.29478536,-80.52023732,25 17.68712160',-80 31.21423920',2797675.959,548296.926
TS/Ph 6a,25.21418102,-80.6490792,25 12.85086120',-80 38.94475200',2788710.167,535349.824
TS/Ph 6b,25.21609115,-80.65101654,25 12.96546900',-80 39.06099240',2788921.174,535154.118
TS/Ph 7a,25.19080491,-80.63910514,25 11.44829460',-80 38.34630840',2786124.319,536361.507
TS/Ph 7b,25.19676203,-80.64207766,25 11.80572180',-80 38.52465960',2786783.166,536060.259
TS/Ph 8,25.23269749,-80.52455665,25 13.96184940',-80 31.47339900',2790799.111,547886.447
TS/Ph 9,25.17692874,-80.48978207,25 10.61572440',-80 29.38692420',2784636.434,551412.407
TS/Ph 10,25.02476744,-80.68097374,25 1.48604640',-80 40.85842440',2767728.122,532186.499
TS/Ph 11,24.91293492,-80.93798347,24 54.77609520',-80 56.27900820',2755308.642,506262.475
