Date,Month,Year,Area,FPO,SITENAME,Plot,SpeciesName,SpeciesCount,NumofThrowTraps,SpeciesDensity
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037A,37A,Ameriurus natalis,1,7,0.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037A,37A,Erimyzon sucetta,1,7,0.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037A,37A,Fundulus chrysotus,2,7,0.2857
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037A,37A,Unidentified Fish,2,7,0.2857
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037A,37A,Noturus gyrinus,3,7,0.4286
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037A,37A,Elassoma evergladei,17,7,2.4286
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037A,37A,Jordanella floridae,19,7,2.7143
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037A,37A,Poecilia latipinna,26,7,3.7143
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037A,37A,Gambusia holbrooki,37,7,5.2857
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037A,37A,Lucania goodei,85,7,12.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037A,37A,Heterandria formosa,214,7,30.5714
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037A,37A,Idiataphe cubensis,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037A,37A,Melanoides tuberculata,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037A,37A,Physella bermudezi,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037A,37A,Physella spp.,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037A,37A,Pomacea paludosa,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037A,37A,Porifera,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037A,37A,Rana spp.,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037A,37A,Libellula needhami,2,7,0.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037A,37A,Physella hendersoni,3,7,0.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037A,37A,Planorbella duryi,3,7,0.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037A,37A,Belostoma spp.,4,7,0.5714
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037A,37A,Brachymesia gravida,4,7,0.5714
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037A,37A,Coenagrionidae,8,7,1.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037A,37A,Celithemis eponina,11,7,1.5714
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037A,37A,Pelocoris femoratus,14,7,2
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037A,37A,Taphromysis louisianae,23,7,3.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037A,37A,Planorbella scalaris,25,7,3.5714
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037A,37A,Procambarus spp.,100,7,14.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037A,37A,Palaemonetes paludosus,736,7,105.1429
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 037A,37A,Panicum hemitomon,9,7,1.2857
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 037A,37A,Saggitaria spp.,16,7,2.2857
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 037A,37A,Paspalidium geminatum,21,7,3
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 037A,37A,Eleocharis spp.,11336,7,1619.4286
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037B,37B,Cichlasoma uropthalmus,1,7,0.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037B,37B,Fundulus chrysotus,1,7,0.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037B,37B,Fundulus confluentus,1,7,0.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037B,37B,Lepomis microlophus,1,7,0.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037B,37B,Noturus gyrinus,3,7,0.4286
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037B,37B,Elassoma evergladei,9,7,1.2857
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037B,37B,Poecilia latipinna,10,7,1.4286
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037B,37B,Jordanella floridae,13,7,1.8571
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037B,37B,Gambusia holbrooki,25,7,3.5714
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037B,37B,Lucania goodei,91,7,13
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037B,37B,Heterandria formosa,132,7,18.8571
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037B,37B,Pomacea paludosa,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037B,37B,Rana spp.,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037B,37B,Siren lacertina,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037B,37B,Sphaeriidae,1,7,0.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037B,37B,Littoridinops monroensis,2,7,0.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037B,37B,Physella hendersoni,2,7,0.2857
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037B,37B,Brachymesia gravida,3,7,0.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037B,37B,Libellula needhami,3,7,0.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037B,37B,Erythemis simplicicollis,5,7,0.7143
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037B,37B,Taphromysis louisianae,7,7,1
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037B,37B,Belostoma spp.,10,7,1.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037B,37B,Celithemis eponina,10,7,1.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037B,37B,Planorbella duryi,10,7,1.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037B,37B,Coenagrionidae,13,7,1.8571
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037B,37B,Planorbella scalaris,15,7,2.1429
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037B,37B,Pelocoris femoratus,17,7,2.4286
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037B,37B,Procambarus spp.,28,7,4
2000-02-01,February,2000,Shark,Other,Shark Slough_Site 037B,37B,Palaemonetes paludosus,453,7,64.7143
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 037B,37B,Potamogeton illinoensis,2,7,0.2857
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 037B,37B,Typha spp.,3,7,0.4286
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 037B,37B,Panicum hemitomon,5,7,0.7143
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 037B,37B,Cladium jamaicense,10,7,1.4286
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 037B,37B,Crinum americanum,15,7,2.1429
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 037B,37B,Paspalidium geminatum,23,7,3.2857
2000-02-01,February,2000,Shark,Plants,Shark Slough_Site 037B,37B,Eleocharis spp.,11944,7,1706.2857
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037C,37C,Ameriurus natalis,1,7,0.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037C,37C,Erimyzon sucetta,1,7,0.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037C,37C,Lepomis macrochirus,1,7,0.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037C,37C,Unidentified Fish,1,7,0.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037C,37C,Fundulus chrysotus,4,7,0.5714
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037C,37C,Noturus gyrinus,5,7,0.7143
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037C,37C,Jordanella floridae,8,7,1.1429
2000-02-01,February,2000,Shark,Fish,Shark Slough_Site 037C,37C,Elassoma evergladei,11,7,1.5714
