LT_ND_Grahl_002,,,,,,,,,,,,
SITENAME,DATE,TIME,Salinity,TN,TP,TOC,NH4,NandN,NO2,SRP,DOC,NO3
SRS4,2001-05-23,11:00,19.5,47.534,0.49,1225.833,3.8,1.44,0.22,0.04,1145.833,1.22
SRS5,2001-05-23,12:30,31.2,23.162,0.65,803.75,1.95,0.97,0.27,0.02,783.5,0.7
SRS6,2001-05-23,13:00,33.9,17.995,0.61,664.25,1.76,0.84,0.23,0.04,610.75,0.61
SRS1a,2001-06-12,13:00,-9999,37.775,0.66,1437.5,2.05,0.43,0.12,0.04,1305.833,0.31
SRS3,2001-06-12,10:00,-9999,116.066,1.85,2403.333,1.54,0.21,0.21,0.03,2393.333,0
SRS4,2001-06-26,14:30,12.3,43.245,0.54,781.417,1.04,0.65,0.3,0.02,830.917,0.35
SRS5,2001-06-26,13:30,20.7,36.088,0.52,1197.5,1.21,1.89,0.43,0.04,1233.333,1.46
SRS6,2001-06-26,11:30,31.2,39.817,0.47,1412.5,1.96,0.93,0.18,0.06,1339.167,0.75
SRS2,2001-07-23,13:00,-9999,109.424,0.27,2359.167,5.79,1.7,0.27,0,2387.5,1.42
SRS3,2001-07-23,11:30,-9999,71.656,0.24,1623.333,5.03,0.48,0.19,0.04,1633.333,0.29
SRS4,2001-07-25,11:00,7,45.313,0.23,1538.333,1.45,1.14,0.22,0.03,1463.333,0.92
SRS5,2001-07-25,12:30,7.9,60.121,0.32,1445,0.97,2.02,0.4,0.01,1434.167,1.62
SRS6,2001-07-25,13:00,20.6,43.978,0.65,1076.667,1.91,2.97,0.54,0.03,1074.167,2.43
SRS1a,2001-07-31,11:00,-9999,58.256,0.44,1377.5,6.4,3.59,0.39,0.01,1369.167,3.2
SRS2,2001-09-05,12:00,-9999,65.028,0.14,1985,4.98,0.17,0.11,0.03,1953.333,0.07
SRS3,2001-09-05,11:00,-9999,43.105,0.13,1334.167,1.55,0.31,0.09,0.03,1340,0.22
SRS4,2001-09-10,11:00,0.7,45.34,0.24,1307.5,2.38,0.99,0.15,0.08,1270.833,0.84
SRS5,2001-09-10,12:00,4.3,46.618,0.12,1306.667,2.11,2.24,0.22,0.1,1325.833,2.02
SRS6,2001-09-10,13:00,17.2,44.376,0.6,933.333,3.28,4.23,0.36,-9999,937.5,3.87
SRS1a,2001-09-13,12:00,-9999,47.755,0.27,1397.5,8.1,2.58,0.2,0.02,1490,2.38
SRS4,2001-10-06,10:00,0.2,30.942,0.17,922.5,0.79,0.26,0.1,0.02,936.667,0.16
SRS5,2001-10-06,10:30,2.7,28.508,0.33,979.167,1.1,1.04,0.15,0.08,986.667,0.89
SRS6,2001-10-06,13:00,8.5,32.68,0.35,882.5,0.8,1.3,0.18,0.17,866.667,1.12
SRS2,2001-10-14,12:00,-9999,43.672,0.14,1311.667,1.53,0.09,0.09,0.03,1250.833,0
SRS3,2001-10-14,11:00,-9999,39.53,0.12,1236.667,2,0.23,0.11,0.01,1242.5,0.12
SRS1a,2001-10-22,12:00,-9999,47.638,0.11,1265.833,3,1.99,0.12,0.02,1286.667,1.86
SRS4,2001-10-31,11:00,1,44.116,0.15,1142.5,3.15,0.25,0.05,0,1180.833,0.2
SRS5,2001-10-31,12:00,9,53.486,0.18,1150,3.71,1.4,0.09,0,1191.667,1.31
SRS6,2001-10-31,13:00,13.2,44.156,0.78,867.5,9.81,3.67,0.2,0.01,862.5,3.47
SRS2,2001-11-19,12:00,-9999,61.649,0.86,1353.333,2.72,0.11,0,0,1298.75,0.1
SRS3,2001-11-19,9:00,-9999,67.842,0.85,1431.667,3.82,1.57,0.04,0,1374.167,1.53
SRS1a,2001-11-28,14:00,-9999,39.364,-9999,1159.167,2.1,0.38,0.09,0,1161.667,0.29
SRS4,2001-11-28,11:00,0.8,37.244,0.14,1142.5,1.9,0.37,0.12,-9999,1118.333,0.25
SRS5,2001-11-28,12:00,1.8,35.721,0.18,1140.833,1.46,0.98,0.14,0,1135,0.84
SRS6,2001-11-28,13:00,13.2,38.894,0.35,839.167,3.7,2.65,0.32,0.04,852.5,2.34
SRS2,2001-12-13,11:00,-9999,38.613,-9999,1198.333,2.95,0.92,0.11,-9999,1225.833,0.81
