LT_PP_Grahl_001,,,,,
SITENAME,Date,Sawgrass_AG_Biomass,Sawgrass_AG_Biomass_STD,Sawgrass_Culm_Density,Sawgrass_Culm_Density_STD
SRS1b,2000-11-01,435.7049,88.7635,32.33,7.02
SRS1b,2001-01-01,377.331,153.7621,36.33,11.15
SRS1b,2001-03-01,403.1258,78.9699,51,5.29
SRS1b,2001-05-01,497.9327,133.3339,73,10.58
SRS1b,2001-07-01,537.709,40.0995,72.33,8.96
SRS1b,2001-09-01,600.3458,107.8938,63.67,12.42
SRS1b,2001-11-01,373.128,69.0751,48.33,4.93
SRS1b,2002-01-01,315.358,84.5704,42,9.54
SRS1b,2002-03-01,448.9689,160.6398,63.67,18.93
SRS1b,2002-05-01,394.1459,89.0171,59.33,16.17
SRS1b,2002-07-01,244.2895,85.4488,33,14.14
SRS1b,2002-09-01,318.9244,116.2556,41,11.14
SRS1b,2002-11-01,121.8246,66.2364,18.67,7.23
SRS1b,2003-01-01,139.9889,51.9473,29.33,13.8
SRS1b,2003-03-01,177.6364,56.1444,32,11.27
SRS1b,2003-05-01,173.7109,44.5309,31.33,7.77
SRS1b,2003-07-01,121.0165,30.5205,19,5.2
SRS1b,2003-09-01,146.5007,54.0958,19,3.61
SRS1b,2003-11-01,92.3722,16.6512,14,2
SRS1b,2004-01-01,82.6953,25.6386,13,3
SRS1b,2004-03-01,159.9817,50.8135,22.67,5.03
SRS1b,2004-05-01,161.0005,40.0132,23.67,8.14
SRS1b,2004-07-01,149.233,20.667,23,1
SRS1b,2004-09-01,116.8518,21.558,19,1.73
SRS1b,2004-11-01,134.0537,36.5211,19.33,2.08
SRS1b,2005-01-01,124.1925,39.4088,16.33,4.51
SRS1c,2005-01-01,379.9203,39.5386,21.67,2.08
SRS1c,2005-03-01,306.8958,33.7566,20.33,3.21
SRS1c,2005-05-01,292.9276,26.7833,19.67,2.08
SRS1c,2005-07-01,310.5676,136.8779,21.33,9.29
SRS1c,2005-09-01,304.0262,72.1624,22,6
SRS1c,2005-11-01,258.7563,47.4199,20,2.65
SRS1c,2006-01-01,306.1673,51.5446,20.67,2.08
SRS1d,2006-01-01,461.5463,118.5936,30,9.54
SRS1d,2006-03-01,513.1174,154.133,35,11.53
SRS1d,2006-05-01,494.1159,43.5684,31.67,1.53
SRS1d,2006-07-01,446.5249,75.5563,38.67,5.86
SRS1d,2006-09-01,585.3897,169.6878,37,9.64
SRS1d,2006-11-01,550.2703,167.0348,35.33,9.61
SRS1d,2007-01-01,542.8304,143.497,40.67,10.69
SRS1d,2007-03-01,477.2267,159.551,50,15.52
SRS1d,2007-05-01,386.1959,72.2901,37.67,8.08
SRS1d,2007-07-01,329.895,77.7361,28,3
SRS1d,2007-09-01,266.5336,42.0784,29.33,3.51
SRS1d,2007-11-01,403.4759,109.6106,37.67,10.69
SRS1d,2008-01-01,383.435,116.8207,38.33,10.21
SRS1d,2008-03-01,338.1268,24.9098,39.67,11.24
SRS1d,2008-05-01,281.5091,61.3593,32.33,9.45
SRS1d,2008-07-01,290.1872,49.9095,34,6.56
SRS1d,2008-09-01,500.198,153.0745,45,13.53
SRS1d,2008-11-01,484.0815,91.5128,41,12.77
SRS1d,2009-01-01,466.199,127.3335,42.33,11.06
SRS1d,2009-03-01,470.6238,130.2102,47.67,16.26
SRS1d,2009-05-01,401.5631,152.2883,45.33,10.79
SRS1d,2009-07-01,434.7951,111.2525,38,10.58
SRS1d,2009-09-01,470.0571,150.8576,39.67,9.29
SRS1d,2009-11-01,510.0828,133.849,40.33,10.02
SRS1d,2010-01-01,603.4961,46.3379,45.33,6.35
SRS1d,2010-03-01,439.818,80.4347,43.33,5.51
SRS1d,2010-05-01,483.282,75.3492,45,2.65
SRS1d,2010-07-01,677.9911,289.5028,39,1.73
SRS1d,2010-09-01,366.941,59.5584,28.33,2.89
SRS1d,2010-11-01,601.7425,99.6518,44.67,1.53
SRS1d,2011-01-01,501.8197,173.3765,45,4.36
SRS1d,2011-03-01,541.5618,40.7112,50.67,7.51
SRS1d,2011-05-01,400.1439,76.0939,43.67,6.03
SRS1d,2011-07-01,440.747,47.9059,45.67,7.37
SRS1d,2011-09-01,86.4441,23.8696,25.67,3.51
SRS1d,2011-11-01,116.9254,29.8005,25.67,4.51
SRS1d,2012-01-01,157.3233,57.3643,22.67,5.69
SRS1d,2012-03-01,105.7066,31.2315,20.33,1.53
SRS1d,2012-05-01,139.4317,48.203,26,6.24
SRS1d,2012-07-01,122.7476,39.8195,20.33,5.69
SRS1d,2012-09-01,129.2268,13.5227,21.33,5.86
SRS1d,2012-11-01,133.7933,24.1001,22,5
SRS1d,2013-01-01,175.2296,50.8935,22,6.08
SRS1d,2013-03-01,189.1748,32.1662,27,3.61
SRS1d,2013-05-01,185.6472,49.4348,29.33,7.37
SRS1d,2013-07-01,182.4474,72.6847,26.67,9.5
SRS1d,2013-09-01,189.6299,48.2212,27.33,7.23
SRS1d,2013-11-01,196.8632,60.3805,26.67,7.64
SRS1d,2014-01-01,251.5455,83.379,29.33,7.77
SRS1d,2014-03-01,239.8457,70.8455,28.33,9.07
SRS1d,2014-05-01,176.0147,19.6761,24.67,4.51
SRS1d,2014-07-01,184.8355,38.0325,27.67,6.66
SRS1d,2014-09-01,185.2322,35.0494,28,5
SRS1d,2014-11-01,170.057,40.5196,25.67,4.93
SRS1d,2015-01-01,232.5794,21.5551,28,6.93
SRS1d,2015-03-01,284.305,121.4495,33,13.45
SRS1d,2015-05-01,205.0968,71.9443,33.67,4.93
SRS1d,2015-07-01,200.3871,78.2852,38,5.29
SRS1d,2015-09-01,201.4815,13.3862,35.33,3.06
SRS1d,2015-11-01,153.2457,27.3978,29,1
SRS1d,2016-01-01,185.799,63.2792,30.67,5.51
SRS1d,2016-03-01,151.1261,28.9222,25.67,3.06
SRS1d,2016-05-01,157.9838,45.034,23,5.29
SRS1d,2016-07-01,287.8028,126.0056,31.33,4.93
SRS1d,2016-09-01,263.183,96.3099,30.67,8.14
SRS1d,2016-11-01,272.8992,62.6844,29.33,4.51
SRS1d,2017-01-01,343.7335,68.3083,38.67,6.43
SRS1d,2017-03-01,286.9712,57.8007,30.67,2.31
SRS1d,2017-05-01,256.4206,52.6496,32,4.36
SRS1d,2017-07-01,232.3159,57.3649,35,7.94
SRS1d,2017-09-01,222.4291,76.5085,29.33,8.96
SRS1d,2017-11-01,257.1549,49.2879,30.67,4.93
SRS1d,2018-01-01,302.8854,78.5821,30,7.21
SRS1d,2018-03-01,361.9485,70.8582,27,6
SRS1d,2018-05-01,358.2534,111.9377,37.67,6.03
SRS1d,2018-07-01,354.5661,75.613,33.67,8.08
SRS1d,2018-09-01,307.8329,95.1448,33,10
SRS1d,2018-11-01,391.016,85.4137,37,6.56
SRS1d,2019-01-01,478.795,88.9688,39,8.19
SRS1d,2019-03-01,433.6461,43.5671,39.33,2.31
SRS1d,2019-05-01,410.8508,90.6507,44.33,7.51
SRS1d,2019-07-01,378.6153,36.523,43.33,3.21
SRS1d,2019-09-01,394.0027,60.3809,43,6.24
SRS1d,2019-11-01,376.3295,58.0049,38.33,3.51
SRS1d,2020-01-01,605.4955,141.3615,46.33,7.51
SRS1d,2020-03-01,524.6181,104.1457,48,5.2
SRS1d,2020-05-01,479.0356,60.5209,50.67,2.89
SRS1d,2020-07-01,336.7255,24.0955,35.67,1.53
SRS1d,2020-09-01,388.1441,92.2994,40.33,11.93
SRS1d,2020-11-01,510.7814,56.2598,43.67,8.39
SRS1d,2021-01-01,435.0767,61.9605,43.33,4.04
SRS1d,2021-03-01,532.8724,117.2801,44,7.21
SRS1d,2021-05-01,710.6513,37.4389,44,3.61
SRS1d,2021-07-01,653.1619,63.6709,41.33,7.51
SRS1d,2021-09-01,692.165,116.4814,46,4.36
SRS1d,2021-11-01,486.7278,69.409,42.33,2.52
SRS1d,2022-01-01,532.5668,65.7047,40,4.58
SRS2,2000-11-01,404.9774,18.45,42,7.94
SRS2,2001-01-01,263.7116,93.2545,42.67,9.07
SRS2,2001-03-01,240.1364,51.6476,53.33,9.07
SRS2,2001-05-01,279.4516,61.7586,47.33,7.23
SRS2,2001-07-01,487.9635,142.4982,51,12.29
SRS2,2001-09-01,529.0642,134.1298,48.67,7.51
SRS2,2001-11-01,390.7771,75.3995,44,7
SRS2,2002-01-01,371.8443,28.2933,43,8.89
SRS2,2002-03-01,373.6957,96.6456,58.67,12.22
SRS2,2002-05-01,407.8815,76.0584,57.33,12.74
SRS2,2002-07-01,444.351,94.1512,62.33,9.45
SRS2,2002-09-01,242.6933,73.899,35.33,9.61
SRS2,2002-11-01,338.8782,112.2119,46.33,12.66
SRS2,2003-01-01,304.22,45.6544,44.67,2.52
SRS2,2003-03-01,285.723,100.0367,54,16.52
SRS2,2003-05-01,302.0503,96.8084,54.67,18.23
SRS2,2003-07-01,264.9288,105.0443,43.67,17.56
SRS2,2003-09-01,255.726,68.7182,38.67,11.02
SRS2,2003-11-01,296.8156,136.9517,41.33,15.53
SRS2,2004-01-01,312.3046,146.1458,40.67,16.62
SRS2,2004-03-01,611.6319,264.8315,48,20.42
SRS2,2004-05-01,396.5125,133.9796,41.67,18.82
SRS2,2004-07-01,370.3548,186.8943,46.67,16.92
SRS2,2004-09-01,397.2559,171.6573,40.67,17.04
SRS2,2004-11-01,409.6466,228.2549,46.33,17.04
