SPEC_ID,Sex,Name,Age,Last_Weighed,Weight
7164,F,Agnus,8.26,11/05/21,73
7164,F,Agnus,8.32,11/23/21,77.0
7164,F,Agnus,8.42,12/28/21,96
7164,F,Agnus,9.26,10/31/22,98
7164,F,Agnus,9.37,11/29/22,119.0
7435,F,Azalea,0.42,10/31/22,51
7435,F,Azalea,0.53,11/29/22,66.0
7257,M,Barley,5.34,10/21/21,76
7257,M,Barley,5.40,11/29/21,105.0
7257,M,Barley,5.51,12/30/21,108
7257,M,Barley,6.34,10/25/22,81
7257,M,Barley,6.40,11/23/22,89.6
7257,M,Barley,6.45,12/13/22,90.0
7303,F,Bee Balm,3.29,10/21/21,65
7303,F,Bee Balm,3.36,11/29/21,94.0
7303,F,Bee Balm,3.46,12/30/21,102
7303,F,Bee Balm,4.30,10/28/22,69
7303,F,Bee Balm,4.41,11/28/22,76.0
7120,F,Begonia,9.28,10/25/21,81
7120,F,Begonia,9.34,11/11/21,75.0
7120,F,Begonia,9.44,12/30/21,84
7120,F,Begonia,10.28,10/30/22,68
7120,F,Begonia,10.39,11/28/22,76.0
7096,F,Bluebell,9.43,10/27/21,77
7096,F,Bluebell,9.49,11/23/21,87.0
7096,F,Bluebell,9.60,12/23/21,98
7096,F,Bluebell,10.43,10/26/22,70
7096,F,Bluebell,10.49,11/13/22,80.0
7096,F,Bluebell,10.55,12/13/22,88.0
7403,F,Cholla,0.34,10/26/21,72.0
7403,F,Cholla,0.40,11/28/21,78.0
7403,F,Cholla,0.50,12/28/21,75
7403,F,Cholla,1.34,10/31/22,59
7403,F,Cholla,1.40,11/15/22,60.0
7403,F,Cholla,1.45,11/29/22,67.0
7335,F,Daffodil,2.25,11/04/21,73
7335,F,Daffodil,2.32,11/18/21,74.0
7335,F,Daffodil,2.42,01/04/22,95
7335,F,Daffodil,3.26,11/07/22,90
7335,F,Daffodil,3.32,11/26/22,92.0
7335,F,Daffodil,3.37,12/04/22,103.0
7099,M,Dogbane,9.41,10/26/21,76
7099,M,Dogbane,9.47,11/23/21,84.0
7099,M,Dogbane,9.57,01/05/22,78
7099,M,Dogbane,10.41,11/04/22,71
7099,M,Dogbane,10.47,11/22/22,70.0
7099,M,Dogbane,10.52,12/06/22,72.0
7384,F,Fauna,3.42,10/26/21,79
7384,F,Fauna,3.49,11/28/21,92.0
7384,F,Fauna,3.59,12/28/21,114
7384,F,Fauna,4.43,10/31/22,68
7384,F,Fauna,4.48,11/15/22,70.0
7384,F,Fauna,4.54,11/29/22,74.0
7104,F,Foxglove,9.38,10/27/21,81
7104,F,Foxglove,9.44,11/23/21,94.0
7104,F,Foxglove,9.55,12/23/21,102
7104,F,Foxglove,10.38,10/26/22,74
7104,F,Foxglove,10.44,11/13/22,76.0
7104,F,Foxglove,10.50,12/13/22,85.0
7408,M,Green Bean,0.15,10/26/21,29.0
7408,M,Green Bean,0.21,11/23/21,34.0
7408,M,Green Bean,0.32,12/28/21,42
7408,M,Green Bean,1.15,10/25/22,74
7408,M,Green Bean,1.21,11/23/22,90.3
7408,M,Green Bean,1.27,12/07/22,90.5
7106,M,Heinz,9.38,11/04/21,100
7106,M,Heinz,9.44,11/23/21,100.0
7106,M,Heinz,9.54,01/05/22,103
7106,M,Heinz,10.38,11/04/22,87
7106,M,Heinz,10.44,11/22/22,94.0
7106,M,Heinz,10.49,12/06/22,102.0
7334,M,Hellebore,2.25,10/21/21,74
7334,M,Hellebore,2.32,11/29/21,107.0
7334,M,Hellebore,2.42,12/30/21,111
7334,M,Hellebore,3.26,10/26/22,74
