REGION,SITE,PLOT,CUM,YEAR,PERIOD,THROW,FUNCHR,FUNCON,GAMHOL,HETFOR,JORFLO,LUCGOO,MONALB,PROALL,PROFAL,PROSPP,PALPAL,DEPTH_AVE_30DAY,DEPTH_AVE_180DAY,DSLDD,LASTDAYDRY,TRANSECT,E.AMICAL,E.CICURO,E.LEPPLA,E.MICSAL,E.MONALB,REGSITE,SITEPLOT
PHD,55,A,64,2008,4,7,0.857142857,0.571428571,1.142857143,0,0,0,0,0,0,0,0,32.08926618,18.65657298,125,66,NA,NA,NA,NA,NA,NA,PHD55,PHD55A
PHD,55,A,65,2008,5,7,0.714285714,0.428571429,1.857142857,0,0,0,0,0.142857143,0,0,0.428571429,24.62259952,25.21826805,175,66,NA,NA,NA,NA,NA,NA,PHD55,PHD55A
PHD,55,A,68,2009,3,7,0,1,0.142857143,0,0,0,0,5.571428571,0,0,0,29.38926618,9.452071939,38,118,6,0,0,0,0,0.5,PHD55,PHD55A
PHD,55,A,69,2009,4,7,0.571428571,0.714285714,1,0.571428571,0,1.285714286,0,0.428571429,0,0,0.571428571,34.18926618,24.99824918,142,118,6,0,0,0,0,0.5,PHD55,PHD55A
PHD,55,A,70,2009,5,7,0.142857143,0,3.428571429,0.142857143,0,0.285714286,0,0,0,0,0.857142857,22.42259952,28.3114884,191,118,6,0,0,0,0,0.5,PHD55,PHD55A
PHD,55,A,71,2010,1,5,0,0.2,0,0,0,0,0,0,0,0,0,17.38926618,26.65037729,253,118,6,0,0,0,0,0.5,PHD55,PHD55A
PHD,55,A,73,2010,3,7,1,1.142857143,3.714285714,0.714285714,0.142857143,0,0.142857143,0.142857143,0,0.714285714,0.428571429,23.75593285,13.55241108,95,2,6,0,0,0,0,0.166666667,PHD55,PHD55A
PHD,55,A,74,2010,4,7,0.285714286,0,4.285714286,1.857142857,0.142857143,0.571428571,0,0,0,0,0.571428571,35.35593285,20.93574441,165,2,6,0,0,0,0,0.166666667,PHD55,PHD55A
PHD,55,A,79,2011,4,7,0.142857143,2,1.714285714,0,0,0,0,1.571428571,0,0.142857143,0,23.55593285,15.22372928,98,140,3,0,0,0,0,1,PHD55,PHD55A
PHD,55,A,80,2011,5,7,0,1,0.285714286,0,0,0,0.142857143,0.428571429,0,0,0,22.88926618,18.97365403,152,140,3,0,0,0,0,1,PHD55,PHD55A
PHD,55,A,83,2012,3,7,0,1,0.857142857,0.142857143,0.285714286,0,0,2,0,0.142857143,0.571428571,31.22259952,12.66809848,90,4,6,0,0.166666667,0,0,0.5,PHD55,PHD55A
PHD,55,A,84,2012,4,7,0.285714286,0.285714286,0.428571429,0.428571429,0,0,0.285714286,0.571428571,0,0.571428571,0.714285714,32.65593285,24.98493471,168,4,6,0,0.166666667,0,0,0.5,PHD55,PHD55A
PHD,55,A,85,2012,5,7,0.571428571,0,0.857142857,0.285714286,0.142857143,0.142857143,0.142857143,0.142857143,0,0,0.714285714,23.42259952,29.37259952,222,4,6,0,0.166666667,0,0,0.5,PHD55,PHD55A
PHD,55,A,88,2013,3,7,0.571428571,0.571428571,0.142857143,0.428571429,0,0,0.142857143,0.142857143,0,0,2.285714286,27.48926618,10.58941668,100,7,2,0,0,0,0,1,PHD55,PHD55A
PHD,55,A,89,2013,4,7,0.285714286,0,0.142857143,0,0,0.571428571,0,0,0,0,1.142857143,27.62259952,22.75723218,200,7,2,0,0,0,0,1,PHD55,PHD55A
PHD,55,A,90,2013,5,7,0,0,0.142857143,1.714285714,0,0,0,0,0,0,3.571428571,22.85593285,26.07815507,233,7,2,0,0,0,0,1,PHD55,PHD55A
PHD,55,A,91,2014,1,7,0,0,0.285714286,0.428571429,0,0,0,0,0,0,1.285714286,21.35593285,24.67815507,297,7,2,0,0,0,0,1,PHD55,PHD55A
PHD,55,A,93,2014,3,5,0,0,0.2,0,0,0,0,0,0,0,0,14.12259952,10.90576328,29,7,2,0,0.5,0,0,7.5,PHD55,PHD55A
PHD,55,A,94,2014,4,7,0.142857143,0,0.142857143,0.428571429,0,0,0.142857143,0,0,0,0.142857143,21.88926618,14.69465217,109,7,2,0,0.5,0,0,7.5,PHD55,PHD55A
PHD,55,A,95,2014,5,7,0,0,0.142857143,0,0,0,0,0,0,0,0,22.38926618,19.67333397,165,7,2,0,0.5,0,0,7.5,PHD55,PHD55A
PHD,55,A,99,2015,4,7,0,0,0.857142857,0,0,0.142857143,0.142857143,0,0,0,0.285714286,26.02259952,14.50020772,73,8,NA,NA,NA,NA,NA,NA,PHD55,PHD55A
PHD,55,A,100,2015,5,7,0,0,0,0,0,0,0,0,0,0,0.857142857,19.55593285,14.7279855,111,8,NA,NA,NA,NA,NA,NA,PHD55,PHD55A
PHD,55,A,101,2016,1,7,0,0,0.285714286,0,0,0,0,0,0,0,0.571428571,25.68926618,22.19482174,171,8,NA,NA,NA,NA,NA,NA,PHD55,PHD55A
PHD,55,A,102,2016,2,7,0.571428571,0,2.285714286,0,0,0.142857143,0,0,0,0,11,22.18926618,24.28371063,229,8,NA,NA,NA,NA,NA,NA,PHD55,PHD55A
PHD,55,A,103,2016,3,7,0.142857143,0,0.428571429,0.142857143,0,0,0.142857143,0,0,0,7.714285714,20.5936729,19.8951418,318,8,2,0,1,0,0,3.5,PHD55,PHD55A
PHD,55,A,104,2016,4,7,0,0,0.142857143,0.285714286,0,0,0,0,0,0,NA,32.05593285,21.41180847,416,8,2,0,1,0,0,3.5,PHD55,PHD55A
PHD,55,A,105,2016,5,7,0,0,0,0.857142857,0,0,0,0,0,0,NA,29.62259952,27.66704396,473,8,2,0,1,0,0,3.5,PHD55,PHD55A
PHD,55,A,108,2017,3,7,0,0.142857143,0,0,0,0,0.142857143,0,0,0,0,20.82406842,10.53018886,27,72,2,0,0,0,0,2.5,PHD55,PHD55A
PHD,55,A,109,2017,4,7,0.142857143,0,0.428571429,0,0,0,0,0,0,0,0,35.35593285,20.28934143,122,72,2,0,0,0,0,2.5,PHD55,PHD55A
PHD,55,A,110,2017,5,7,0.285714286,0,0.571428571,0.285714286,0,0.571428571,0,0,0,0,2.285714286,29.88926618,27.21222286,175,72,2,0,0,0,0,2.5,PHD55,PHD55A
PHD,55,A,111,2018,1,7,0,0,0.142857143,0,0,0,0,0,0,0,2.142857143,23.22259952,29.0114884,244,72,2,0,0,0,0,2.5,PHD55,PHD55A
PHD,55,A,113,2018,3,7,0,0,0.285714286,0,0,0.714285714,0.142857143,0,0,0,1.714285714,29.68926618,14.13811734,45,51,NA,NA,NA,NA,NA,NA,PHD55,PHD55A
PHD,55,A,114,2018,4,7,0,0,0,0.428571429,0,0,0.142857143,0,0.142857143,0,1.285714286,30.15593285,23.24775955,153,51,NA,NA,NA,NA,NA,NA,PHD55,PHD55A
PHD,55,A,115,2018,5,7,0.142857143,0,0,0.571428571,0,0,0,0,0,0,2.714285714,23.68926618,27.98395544,192,51,NA,NA,NA,NA,NA,NA,PHD55,PHD55A
PHD,55,A,118,2019,3,7,0,0,0,0,0,0,0,0,0,0,0.285714286,18.52259952,12.55453919,41,1,2,0,0,0,0,0,PHD55,PHD55A
PHD,55,A,119,2019,4,7,0,0,0.428571429,0,0,0,0,0,0,0,0.285714286,26.18926618,17.06009475,112,1,2,0,0,0,0,0,PHD55,PHD55A
PHD,55,A,120,2019,5,7,0,0,0,0,0,0,0,0,0,0,0.285714286,23.25593285,23.22839989,174,1,2,0,0,0,0,0,PHD55,PHD55A
PHD,55,A,121,2020,1,7,0,0,0.857142857,0,0,0,0,0,0,0,0.285714286,19.58926618,24.03371063,245,1,2,0,0,0,0,0,PHD55,PHD55A
PHD,55,A,122,2020,2,7,0.571428571,0.142857143,0.428571429,0,0,0,0,0.428571429,0.285714286,0,0,23.29807961,13.55821145,37,2,2,0,0,0,0,0,PHD55,PHD55A
PHD,55,A,123,2020,3,7,1.142857143,0.142857143,0.428571429,0,0,0,0,1.428571429,0.142857143,0,0,30.18926618,15.27487812,93,2,NA,NA,NA,NA,NA,NA,PHD55,PHD55A
PHD,55,A,124,2020,4,7,1,0,0.714285714,0,0,0.428571429,0,0.142857143,0,0,0,34.55593285,21.22896477,140,2,NA,NA,NA,NA,NA,NA,PHD55,PHD55A
PHD,55,A,125,2020,5,7,NA,NA,NA,NA,NA,NA,NA,0.285714286,0.142857143,0.142857143,2,37.92259952,30.7346899,189,2,NA,NA,NA,NA,NA,NA,PHD55,PHD55A
PHD,55,A,126,2021,1,7,0,0,0.285714286,0.142857143,0,2.285714286,0,0.571428571,0,0.428571429,12,29.15593285,31.92259952,253,2,NA,NA,NA,NA,NA,NA,PHD55,PHD55A
PHD,55,B,64,2008,4,7,0.285714286,0.142857143,1.285714286,0,0.142857143,0,0,0.571428571,0,0,0,32.33139399,18.88182496,125,61,NA,NA,NA,NA,NA,NA,PHD55,PHD55B
PHD,55,B,65,2008,5,7,0.285714286,0.714285714,0.428571429,0.285714286,0,0.142857143,0,0.571428571,0,0,0.285714286,25.19806066,25.41145864,174,61,NA,NA,NA,NA,NA,NA,PHD55,PHD55B
PHD,55,B,68,2009,3,7,0,1.857142857,0,0,0,0,0,5.428571429,0,0.142857143,0,29.49806066,9.993205422,38,107,5,0,0,0,0.2,0.4,PHD55,PHD55B
PHD,55,B,69,2009,4,7,0.571428571,0.285714286,0.571428571,0,0,0.714285714,0,2.142857143,0,0,0.142857143,34.63139399,25.34598928,142,107,5,0,0,0,0.2,0.4,PHD55,PHD55B
