id,observed_on_string,observed_on,time_observed_at,latitude,longitude,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_genus_name
53604,2008-08-31,2008-08-31,,25.1444374841,-80.9197411222,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
126669,2010-11-12,2010-11-12,,25.4317335738,-80.7583905413,Lithobates grylio,Pig Frog,Amphibia,65986,Anura,Lithobates
126672,2010-11-13,2010-11-13,,25.5386365094,-80.6759533693,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
126682,2010-11-11,2010-11-11,,25.425606078,-80.6789236375,Lithobates sphenocephalus,Southern Leopard Frog,Amphibia,60341,Anura,Lithobates
126683,2010-11-11,2010-11-11,,25.3021352256,-80.7983999559,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
245243,2013-04-10,2013-04-10,,25.398313,-80.656471,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
245253,2013-04-11,2013-04-11,,25.338441,-80.81337,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
245264,2013-04-12,2013-04-12,,25.273262,-80.797577,Lithobates grylio,Pig Frog,Amphibia,65986,Anura,Lithobates
328321,2013-03-12 9:20 PM,2013-03-12,2013-03-13 04:20:00 UTC,25.322925,-80.81131,Lithobates grylio,Pig Frog,Amphibia,65986,Anura,Lithobates
328324,2013-03-18 9:15 PM,2013-03-18,2013-03-19 04:15:00 UTC,25.322925,-80.81131,Hyla cinerea,Green Treefrog,Amphibia,23969,Anura,Hyla
328327,2013-03-18 9:15 PM,2013-03-18,2013-03-19 04:15:00 UTC,25.322925,-80.81131,Hyla squirella,Squirrel Treefrog,Amphibia,23873,Anura,Hyla
328329,2013-03-19 8:50 PM,2013-03-19,2013-03-20 03:50:00 UTC,25.322925,-80.81131,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
328332,2013-03-19 9:50 PM,2013-03-19,2013-03-20 04:50:00 UTC,25.322925,-80.81131,Lithobates grylio,Pig Frog,Amphibia,65986,Anura,Lithobates
328369,2013-03-23,2013-03-23,,25.312689,-80.803894,Lithobates sphenocephalus sphenocephalus,Florida Leopard Frog,Amphibia,322950,Anura,Lithobates
331808,2011-12-28,2011-12-28,,25.300827,-80.826588,Hyla cinerea,Green Treefrog,Amphibia,23969,Anura,Hyla
355424,2008-01-03,2008-01-03,,25.140879,-80.932366,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
374993,2010-11-12,2010-11-12,,25.274504,-80.952759,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
1237035,2015-01-11 at 9:00pm,2015-01-11,2015-01-12 02:00:00 UTC,25.382684,-80.607177,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
2585164,Thu Nov 12 2015 19:42:51 GMT-0800 (PST),2015-11-12,2015-11-13 03:42:51 UTC,25.665224,-80.766546,Anaxyrus terrestris,Southern Toad,Amphibia,64988,Anura,Anaxyrus
2585185,Wed Nov 04 2015 20:08:47 GMT-0800 (PST),2015-11-04,2015-11-05 04:08:47 UTC,25.1386011972,-80.9378923502,Osteopilus septentrionalis,Cuban Tree Frog,Amphibia,24382,Anura,Osteopilus
2585186,Wed Nov 04 2015 20:11:21 GMT-0800 (PST),2015-11-04,2015-11-05 04:11:21 UTC,25.138622,-80.93818,Hyla cinerea,Green Treefrog,Amphibia,23969,Anura,Hyla
