id,observed_on_string,observed_on,time_observed_at,latitude,longitude,scientific_name,common_name,iconic_taxon_name,taxon_id,taxon_order_name,taxon_genus_name
2677,2009-05-15,2009-05-15,,25.7436218262,-81.2521362305,Tursiops truncatus,Common Bottlenose Dolphin,Mammalia,41482,Artiodactyla,Tursiops
2690,2009-05-14,2009-05-14,,25.1539380909,-80.8517896342,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
45156,2011-12-21,2011-12-21,,25.1891488886,-80.9790421108,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
132859,2012-09-29 20:10:18,2012-09-29,2012-09-30 00:10:18 UTC,25.3856891605,-80.566884817,Puma concolor couguar,North American Mountain Lion,Mammalia,143589,Carnivora,Puma
421592,2004-02-20,2004-02-20,,25.138661,-80.930722,Sylvilagus palustris,Marsh Rabbit,Mammalia,43102,Lagomorpha,Sylvilagus
435431,2008-04-10 10:24:48,2008-04-10,2008-04-10 14:24:48 UTC,25.685836,-80.762515,Odocoileus virginianus seminolus,Florida White-tailed Deer,Mammalia,334689,Artiodactyla,Odocoileus
631837,2000-03-08,2000-03-08,,25.810709,-81.456413,Tursiops truncatus,Common Bottlenose Dolphin,Mammalia,41482,Artiodactyla,Tursiops
1229010,2015-01-18 11:41:25,2015-01-18,2015-01-18 16:41:25 UTC,25.1697929484,-80.8666262333,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
1297333,2015-03-12,2015-03-12,,25.0925314717,-80.91817612,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
1308000,2015-03-17,2015-03-17,,25.820939,-81.465425,Tursiops truncatus,Common Bottlenose Dolphin,Mammalia,41482,Artiodactyla,Tursiops
1308348,2015-03-18,2015-03-18,,25.788392,-81.418948,Procyon lotor,Common Raccoon,Mammalia,41663,Carnivora,Procyon
1338249,2015-03-12,2015-03-12,,25.0323906682,-80.8036505155,Trichechus manatus,West Indian Manatee,Mammalia,46316,Sirenia,Trichechus
1459396,Tue May 05 2015 09:43:15 GMT-0400 (EDT),2015-05-05,2015-05-05 13:43:15 UTC,25.1679377886,-80.9806941157,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
2275848,2012-12-19,2012-12-19,,25.0893635345,-80.8506814388,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
2306418,2009-02-11 22:18:40,2009-02-11,2009-02-11 22:18:40 UTC,25.1017152017,-80.9022313671,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
2337241,2013-12-20,2013-12-20,,25.286616,-80.898651,Tursiops truncatus,Common Bottlenose Dolphin,Mammalia,41482,Artiodactyla,Tursiops
2563532,2016-01-07 13:37:09,2016-01-07,2016-01-07 19:37:09 UTC,25.0676213686,-80.9802575465,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
2586245,2016-01-07,2016-01-07,,25.1405613371,-80.8558349132,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
2704330,Tue Oct 27 2015,2015-10-27,,25.1972779977,-80.8150606786,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
2790717,2016-03-11,2016-03-11,,25.5836414096,-80.6561542706,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
2818054,Tue Mar 22 2016 13:09:45 GMT-0400 (EDT),2016-03-22,2016-03-22 17:09:45 UTC,25.1381204032,-80.9012070248,Trichechus manatus latirostris,Florida Manatee,Mammalia,147881,Sirenia,Trichechus
2823221,Tue Mar 22 2016 15:08:07 GMT-0400 (EDT),2016-03-22,2016-03-22 19:08:07 UTC,25.1197604321,-80.9829160596,Tursiops truncatus,Common Bottlenose Dolphin,Mammalia,41482,Artiodactyla,Tursiops
