id,observed_on,time_observed_at,time_zone,user_name,created_at,quality_grade,num_identification_agreements,num_identification_disagreements,captive_cultivated,latitude,longitude,scientific_name,common_name,iconic_taxon_name,taxon_id
2585187,2015-11-04,2015-11-05 03:40:57 UTC,Pacific Time (US & Canada),Stevie Kennedy-Gold,2016-01-16 05:27:07 UTC,research,9,0,false,25.212945,-80.855131,Python bivittatus,Burmese Python,Reptilia,238252
4619755,2007-02-07,2007-02-07 15:27:00 UTC,Eastern Time (US & Canada),Pablo L Ruiz,2016-11-23 04:19:55 UTC,research,9,0,false,25.4976037832,-80.771420002,Python bivittatus,Burmese Python,Reptilia,238252
4619843,2009-02-20,2009-02-20 18:18:00 UTC,Eastern Time (US & Canada),Pablo L Ruiz,2016-11-23 04:49:34 UTC,research,10,0,false,25.5733514113,-80.7591301203,Python bivittatus,Burmese Python,Reptilia,238252
5419079,2017-03-13,2017-03-14 00:24:21 UTC,Central Time (US & Canada),,2017-03-21 20:06:22 UTC,research,10,0,false,25.4028142865,-80.6153291182,Python bivittatus,Burmese Python,Reptilia,238252
7054721,2017-07-13,2017-07-14 02:35:00 UTC,Eastern Time (US & Canada),Noah Frade,2017-07-14 23:50:50 UTC,research,10,0,false,25.3863780133,-80.9176394029,Python bivittatus,Burmese Python,Reptilia,238252
7394608,2016-10-17,2016-10-18 02:15:34 UTC,Eastern Time (US & Canada),,2017-08-07 18:09:28 UTC,research,7,0,false,25.7476716667,-80.7669666667,Python bivittatus,Burmese Python,Reptilia,238252
9440357,2018-01-10,2018-01-10 22:11:46 UTC,Eastern Time (US & Canada),,2018-01-11 18:42:02 UTC,research,10,0,false,25.3843166667,-80.80832,Python bivittatus,Burmese Python,Reptilia,238252
9904052,2016-02-27,2016-02-28 02:53:00 UTC,Eastern Time (US & Canada),"",2018-02-18 08:27:48 UTC,research,10,0,false,25.2997824578,-80.7989501953,Python bivittatus,Burmese Python,Reptilia,238252
13884389,2017-08-04,2017-08-04 04:46:00 UTC,Eastern Time (US & Canada),Janson Jones,2018-06-29 14:10:56 UTC,research,13,0,false,25.2883068429,-80.6554383438,Python bivittatus,Burmese Python,Reptilia,238252
14517752,2006-12-13,2006-12-13 12:55:00 UTC,Central Time (US & Canada),David LeGros,2018-07-19 17:05:02 UTC,research,11,0,false,25.3823998,-80.6064611,Python bivittatus,Burmese Python,Reptilia,238252
15271090,2013-05-30,2013-05-31 01:23:00 UTC,Eastern Time (US & Canada),Michiko,2018-08-09 20:42:39 UTC,research,10,0,false,25.7600452857,-80.6737420381,Python bivittatus,Burmese Python,Reptilia,238252
17466089,2017-10-13,2017-10-13 06:00:12 UTC,Eastern Time (US & Canada),An person,2018-10-13 15:54:11 UTC,research,10,0,false,25.2570020913,-80.7986110297,Python bivittatus,Burmese Python,Reptilia,238252
19249825,2018-12-27,2018-12-27 14:54:14 UTC,Eastern Time (US & Canada),Noah Frade,2018-12-27 15:08:06 UTC,research,11,0,false,25.6033516093,-80.7817530421,Python bivittatus,Burmese Python,Reptilia,238252
19276988,2018-12-28,2018-12-28 07:26:14 UTC,Eastern Time (US & Canada),,2018-12-28 22:27:25 UTC,research,9,0,false,25.3130493198,-80.7321486183,Python bivittatus,Burmese Python,Reptilia,238252
19417587,2019-01-04,2019-01-04 13:49:23 UTC,Eastern Time (US & Canada),Hunter Howell,2019-01-04 13:51:41 UTC,research,10,0,false,25.690912684,-80.7595647889,Python bivittatus,Burmese Python,Reptilia,238252
19660349,2009-11-11,,UTC,"",2019-01-15 19:04:57 UTC,research,23,0,false,25.4481622953,-80.7850938761,Python bivittatus,Burmese Python,Reptilia,238252
22727638,2018-07-01,2018-07-02 01:21:54 UTC,Mountain Time (US & Canada),Brandon Bourassa,2019-04-19 22:03:38 UTC,research,8,0,false,25.332455,-80.8015883333,Python bivittatus,Burmese Python,Reptilia,238252
