gbifID	datasetKey	occurrenceID	kingdom	phylum	class	order	family	genus	species	infraspecificEpithet	taxonRank	scientificName	verbatimScientificName	verbatimScientificNameAuthorship	countryCode	locality	stateProvince	occurrenceStatus	individualCount	publishingOrgKey	decimalLatitude	decimalLongitude	coordinateUncertaintyInMeters	coordinatePrecision	elevation	elevationAccuracy	depth	depthAccuracy	eventDate	day	month	year	taxonKey	speciesKey	basisOfRecord	institutionCode	collectionCode	catalogNumber	recordNumber	identifiedBy	dateIdentified	license	rightsHolder	recordedBy	typeStatus	establishmentMeans	lastInterpreted	mediaType	issue
3966498255	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/141997188	Animalia	Chordata	Squamata		Pythonidae	Python	Python bivittatus		SPECIES	Python bivittatus Kuhl, 1820	Python bivittatus		US		Florida	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	25.290452	-80.303491	8.0						2022-11-14T07:14:32	14	11	2022	4820533	4820533	HUMAN_OBSERVATION	iNaturalist	Observations	141997188		Isaac Lord	2022-11-14T16:44:15	CC_BY_NC_4_0	Isaac Lord	Isaac Lord			2022-11-25T06:12:13.089Z	StillImage	COORDINATE_ROUNDED
3966478740	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/141541025	Animalia	Chordata	Squamata		Pythonidae	Python	Python bivittatus		SPECIES	Python bivittatus Kuhl, 1820	Python bivittatus		US		Florida	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	25.300844	-80.206398	29981.0						2022-11-06T00:43:00	6	11	2022	4820533	4820533	HUMAN_OBSERVATION	iNaturalist	Observations	141541025		Isaac Lord	2022-11-09T15:33:48	CC_BY_NC_4_0	Isaac Lord	Isaac Lord			2022-11-25T06:18:56.368Z	StillImage	COORDINATE_ROUNDED
3963415911	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/141085723	Animalia	Chordata	Squamata		Pythonidae	Python	Python bivittatus		SPECIES	Python bivittatus Kuhl, 1820	Python bivittatus		US		Florida	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	25.279602	-80.343484	2.0						2022-11-03T11:23:00	3	11	2022	4820533	4820533	HUMAN_OBSERVATION	iNaturalist	Observations	141085723		Isaac Lord	2022-11-04T18:00:57	CC_BY_NC_4_0	Isaac Lord	Isaac Lord			2022-11-25T06:17:46.676Z	StillImage	COORDINATE_ROUNDED
3963414080	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/141193752	Animalia	Chordata	Squamata		Pythonidae	Python	Python bivittatus		SPECIES	Python bivittatus Kuhl, 1820	Python bivittatus		US		Florida	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	25.839886	-80.914692	2914.0						2022-10-28T05:09:00	28	10	2022	4820533	4820533	HUMAN_OBSERVATION	iNaturalist	Observations	141193752		Magnus	2022-11-05T20:42:56	CC_BY_NC_4_0	Magnus	Magnus			2022-11-25T05:31:14.958Z	StillImage	COORDINATE_ROUNDED
3963278930	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/141086028	Animalia	Chordata	Squamata		Pythonidae	Python	Python bivittatus		SPECIES	Python bivittatus Kuhl, 1820	Python bivittatus		US		Florida	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	25.185274	-80.361865	15.0						2022-11-04T08:07:00	4	11	2022	4820533	4820533	HUMAN_OBSERVATION	iNaturalist	Observations	141086028		Isaac Lord	2022-11-04T18:04:27	CC_BY_NC_4_0	Isaac Lord	Isaac Lord			2022-11-25T05:30:59.256Z	StillImage	COORDINATE_ROUNDED
3961191639	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/140841909	Animalia	Chordata	Squamata		Pythonidae	Python	Python bivittatus		SPECIES	Python bivittatus Kuhl, 1820	Python bivittatus		US		Florida	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	25.409357	-80.64921	245.0						2022-11-01T18:18:42	1	11	2022	4820533	4820533	HUMAN_OBSERVATION	iNaturalist	Observations	140841909		Ty Williams	2022-11-02T02:55:34	CC_BY_NC_4_0	Ty Williams	Ty Williams			2022-11-25T06:16:26.291Z	StillImage	COORDINATE_ROUNDED
3961105437	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/116749979	Animalia	Chordata	Squamata		Pythonidae	Python	Python bivittatus		SPECIES	Python bivittatus Kuhl, 1820	Python bivittatus		US		Florida	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	26.009211	-80.632583	46.0						2022-04-26T12:29:08	26	4	2022	4820533	4820533	HUMAN_OBSERVATION	iNaturalist	Observations	116749979		ericroscoe	2022-05-12T21:35:46	CC_BY_NC_4_0	Holly Coates	Holly Coates			2022-11-25T05:23:08.117Z		COORDINATE_ROUNDED
3961038533	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/140727194	Animalia	Chordata	Squamata		Pythonidae	Python	Python bivittatus		SPECIES	Python bivittatus Kuhl, 1820	Python bivittatus		US		Florida	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	25.263734	-80.798489	1412.0						2022-10-31T20:01:43	31	10	2022	4820533	4820533	HUMAN_OBSERVATION	iNaturalist	Observations	140727194		Ty Williams	2022-11-01T01:55:25	CC_BY_NC_4_0	Ty Williams	Ty Williams			2022-11-25T06:12:05.413Z	StillImage	COORDINATE_ROUNDED
3960980957	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/140150269	Animalia	Chordata	Squamata		Pythonidae	Python	Python bivittatus		SPECIES	Python bivittatus Kuhl, 1820	Python bivittatus		US		Florida	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	25.309175	-80.295479	4.0						2022-10-20T00:00:00	20	10	2022	4820533	4820533	HUMAN_OBSERVATION	iNaturalist	Observations	140150269		Isaac Lord	2022-10-27T13:36:37	CC_BY_NC_4_0	Isaac Lord	Isaac Lord			2022-11-25T06:12:04.587Z	StillImage	COORDINATE_ROUNDED
3947629547	50c9509d-22c7-4a22-a47d-8c48425ef4a7	https://www.inaturalist.org/observations/138890885	Animalia	Chordata	Squamata		Pythonidae	Python	Python bivittatus		SPECIES	Python bivittatus Kuhl, 1820	Python bivittatus		US		Florida	PRESENT		28eb1a3f-1c15-4a95-931a-4af90ecb574d	25.378197	-80.937987	29981.0						2018-12-28T19:53:06	28	12	2018	4820533	4820533	HUMAN_OBSERVATION	iNaturalist	Observations	138890885		brendanboyd	2022-10-15T20:56:13	CC_BY_4_0	brendanboyd	brendanboyd			2022-11-25T06:12:50.221Z	StillImage	COORDINATE_ROUNDED
